year,oil_price_nom,deflator_2010,oil_price_real
1956,1.93,15.8973806408727,12.140364778320178
1957,1.9,16.4243047671945,11.56822177213256
1958,2.08,16.7971153109123,12.383078650705704
1959,2.08,17.0291406163202,12.214356830236007
1960,1.9,17.2649046802694,11.004984013444043
1961,1.8,17.4546805775638,10.312420167194096
1962,1.8,17.6709639147097,10.186201548980813
1963,1.8,17.869470852720102,10.073045893947123
1964,1.8,18.1438016739645,9.920743360984346
1965,1.8,18.476472141924898,9.742119524623027
1966,1.8,18.9955874118392,9.475884904081099
1967,1.8,19.5472139484462,9.208473415942128
1968,1.8,20.3779998465122,8.833055322198755
1969,1.8,21.380834759008803,8.41875455419986
1970,1.8,22.5098548727325,7.996497579291127
1971,2.24,23.652526393948698,9.47044710020104
1972,2.48,24.6760357128332,10.050236710875861
1973,3.29,26.0193551926795,12.644433252233844
1974,11.58,28.3565345788313,40.837148022469194
1975,11.53,30.9829809997305,37.213978861815434
1976,12.8,32.6831390952883,39.16392474627778
1977,13.92,34.7107194596032,40.10288526632323
1978,14.02,37.1483124220126,37.74061077318901
1979,31.61,40.2150184274818,78.60247548313598
1980,36.83,43.841138710452206,84.00785445661639
1981,35.93,47.93469368048161,74.95614812832368
1982,32.97,50.9088028077326,64.76286650172835
1983,29.55,52.9184005963474,55.84068994337603
1984,28.78,54.7964383730105,52.521661725692255
1985,27.56,56.549956891411895,48.7356693355596
1986,14.43,57.690075955107204,25.012967587751177
1987,18.5225,59.162481784071595,31.307848219759506
1988,14.948333333333332,61.23349984685429,24.412018536780177
1989,18.25166666666667,63.6146219458409,28.690992901294692
1990,23.675833333333333,65.9675393933173,35.89012649414018
1991,20.010833333333334,68.1632532565899,29.357215768451784
1992,19.305833333333336,69.7172035266869,27.691634713866996
1993,17.042499999999997,71.37573181386091,23.87716324148484
1994,15.840833333333334,72.89490133610391,21.7310580616529
1995,17.044166666666666,74.41514845363629,22.904162688442238
1996,20.634999999999998,75.7732873818402,27.232552147322266
1997,19.118333333333336,77.0706605506334,24.806240399059625
1998,12.779166666666667,77.9069380352619,16.40311760280274
1999,17.846666666666668,79.099233099589,22.562376356034985
2000,28.522500000000004,80.8989663311122,35.256939975302004
2001,24.45,82.7426835695228,29.549440440200858
2002,24.963333333333335,84.0129382587567,29.71367726295586
2003,28.882500000000004,85.6881251271034,33.70653746613997
2004,38.23,88.04447180829192,43.42123839784288
2005,54.41833333333333,90.87712250590259,59.881224044917126
2006,65.14666666666666,93.6695321591134,69.54947373496447
2007,72.46499999999999,96.1620284975459,75.35718737656342
2008,96.84750000000001,98.04837554103631,98.7752213798446
2009,61.49,98.79296441592571,62.241274329133944
2010,79.51166666666667,100.0,79.51166666666667
2011,111.26416666666667,102.06429983160999,109.01379507843096
2012,111.65166666666666,103.896811080026,107.46399769735716
2013,108.63749999999999,105.444891271546,103.02775097963945
2014,99.02333333333333,106.980012591836,92.56246184148432
