year;cost
1960;261,1
1961;256,2
1962;271,8
1963;252,4
1964;252,2
1965;269,1
1966;295,1
1967;305,1
1968;327
1969;338,7
1970;344,6
1971;327,6
1972;352,8
1973;367,8
1974;399,5
1975;467,9
1976;476,7
1977;531,4
1978;611,8
1979;668,8
1980;680,4
1981;767,4
1982;820
1983;570,1
1984;482,5
1985;501,2
1986;511,7
1987;382
1988;468,6
1989;461,1
1990;470,2
1991;499,1
1992;442,9
1993;482,9
1994;535,4
1995;557,4
1996;528,6
1997;632,9
1998;797,2
1999;874,8
2000;754,6
2001;921,1
2002;1011,9
2003;1127,4
2004;1528,5
2005;1522,3
2006;1801,3
2007;3481,8
